model,scope,n_matches,accuracy,log_loss,brier
logistic,wc:2006,10,0.4,0.9587724286680558,0.5634808999794312
logistic,wc:2010,7,0.5714285714285714,0.7730875861720093,0.45065397840615884
logistic,wc:2014,4,0.25,1.2261656138240782,0.7494847222858831
logistic,wc:2018,10,0.7,0.7874863733621033,0.4556412956616083
logistic,wc:2022,4,0.25,0.8633098820822939,0.5107950487812908
logistic,walk_forward,1884,0.5498938428874734,0.960436507158902,0.5691495311331793
catboost,wc:2006,10,0.4,1.0344753756288356,0.5988715371938136
catboost,wc:2010,7,0.8571428571428571,0.7454761103409414,0.4213430042161752
catboost,wc:2014,4,0.25,1.1460588737156963,0.6982843337349267
catboost,wc:2018,10,0.7,0.8321036033713811,0.4789581524899706
catboost,wc:2022,4,0.75,0.8124861056215112,0.46880629183629474
catboost,walk_forward,1884,0.5520169851380042,0.9596187621803084,0.5676886773913212
