iterations,depth,learning_rate,log_loss,accuracy,brier
200,3,0.03,0.9539366300097417,0.5616666666666666,0.5644336914710325
200,4,0.03,0.954231949702939,0.5641666666666667,0.5646056619054132
200,6,0.03,0.9584527040293184,0.5741666666666667,0.5668972034797283
200,3,0.05,0.9586284159884064,0.5616666666666666,0.5674502717612954
200,4,0.05,0.9605594170501665,0.5641666666666667,0.5684956035927562
400,3,0.03,0.9623259136235197,0.5566666666666666,0.5694674666089906
400,4,0.03,0.967955691082187,0.5566666666666666,0.5726929519550498
200,6,0.05,0.9681138631506295,0.565,0.571039887782138
600,3,0.03,0.9718035773301172,0.5566666666666666,0.5747146999853383
400,6,0.03,0.9742564498274222,0.5641666666666667,0.5746205004994541
200,3,0.1,0.9759364300931134,0.5625,0.5770237588254765
400,3,0.05,0.9768477382783237,0.5558333333333333,0.5776965724390138
600,4,0.03,0.9797082691607822,0.5566666666666666,0.5783935020672653
400,4,0.05,0.9826211833351711,0.5508333333333333,0.5809352792668253
200,4,0.1,0.9871539037889621,0.5483333333333333,0.5832264055826127
600,3,0.05,0.9906684532557423,0.5491666666666667,0.5846090401112667
600,6,0.03,0.9914674538010085,0.5691666666666667,0.5827976574978645
400,6,0.05,0.9964180799705051,0.5608333333333333,0.5841047734065397
600,4,0.05,1.0035244481952716,0.5366666666666666,0.5906141144124399
200,6,0.1,1.0044102064159939,0.5525,0.5892219193702992
400,3,0.1,1.0082108776442982,0.5441666666666667,0.5921395563550116
600,6,0.05,1.0217008470169258,0.5541666666666667,0.5940997660533585
400,4,0.1,1.0228322305399247,0.535,0.5997553788559986
600,3,0.1,1.0356096987311212,0.5316666666666666,0.6039514872282498
400,6,0.1,1.0496600271429555,0.5508333333333333,0.6069315662840239
600,4,0.1,1.0576641274659733,0.5333333333333333,0.6129212709434431
600,6,0.1,1.0948807301929966,0.5433333333333333,0.623684714868688
