date,team,elo_rating
2026-05-01,Mexico,1684.6
2026-05-01,Canada,1544.4
2026-05-01,Morocco,1711.3
2026-05-01,Japan,1654.1
2026-05-01,USA,1610.7
2026-05-01,Wales,1540.5
2026-05-01,Senegal,1621.9
2026-05-01,South Korea,1585.3
2026-05-01,Argentina,1989.7
2026-05-01,Australia,1517.2
2026-05-01,Poland,1573.2
2026-05-01,Ecuador,1591.7
2026-05-01,France,1951.0
2026-05-01,Denmark,1676.9
2026-05-01,Tunisia,1507.0
2026-05-01,Peru,1507.1
2026-05-01,Spain,1905.5
2026-05-01,Costa Rica,1475.6
2026-05-01,Germany,1843.2
2026-05-01,Serbia,1599.3
2026-05-01,Belgium,1777.2
2026-05-01,Croatia,1739.8
2026-05-01,Saudi Arabia,1498.3
2026-05-01,Nigeria,1577.7
2026-05-01,Brazil,1953.6
2026-05-01,Switzerland,1684.7
2026-05-01,Cameroon,1548.0
2026-05-01,Sweden,1625.5
2026-05-01,Portugal,1876.2
2026-05-01,Ghana,1526.5
2026-05-01,Uruguay,1752.1
2026-05-01,Iran,1533.9
2026-05-01,Netherlands,1832.3
2026-05-01,Qatar,1437.8
2026-05-01,Egypt,1569.2
2026-05-01,Chile,1586.9
2026-05-01,England,1898.3
2026-05-01,Ukraine,1607.4
2026-05-01,Algeria,1537.6
2026-05-01,Colombia,1689.8
2026-05-01,Italy,1841.1
2026-05-01,Norway,1648.1
2026-05-01,Ivory Coast,1550.0
2026-05-01,Panama,1473.5
2026-05-01,Uruguay B,1501.8
2026-05-01,Turkey,1603.3
2026-05-01,Austria,1643.1
2026-05-01,Scotland,1563.4
